menu	-en	categorie	-en	nom	-en	prix	-en	description	-en	commentaire	-en
										Toutes nos recettes sont faites maison, nos produits sont de saison et nos fruits et légumes sont locaux.	All our recipes are homemade, our products are seasonal and our fruits and vegetables are local.
Boissons	Drinks										
		Barista									
										(Servis chauds ou glacés)	(Served hot or iced)
				Expresso		2					
				Cortado		2.5					
				Double Expresso		3					
				Americano		3					
				Cappuccino		4					
				Flat white		4.5					
				Latte		4.5					
				Moka		5					
				Latte double	Double latte	5					
		Nos tasses	Our cups								
				Chocolat chaud maison	Homemade hot chocolate	5					
				Chaï latte maison	Homemade chaï latte	4.5					
				Blue latte		5		Infusion de fleurs, gingembre, sucre de coco	Flower infusion, ginger, coconut sugar		
				Dirty chaï latte		5		Chaï latte avec un shot de café	Chaï latte with coffee shot		
				Matcha latte		4.5					
				Golden latte		4.5					
//				Thé vert/noir/blanc	Green/black/white tea	4		De chez « l’autre thé », bio	From « l’autre thé », organic		
				Thé vert/noir	Green/black tea	4		De chez « l’autre thé », bio	From « l’autre thé », organic		
				Infusion bio	Organic Infusion	4					
				Supplément lait d’avoine & lait d’amande	Almond or oat milk extra	0.5					
		Boissons fraîches	Fresh drinks								
				Jus du jour	Juice of the day	5		Pressé à froid minute	Cold pressed		
				Orange pressée	Orange juice	4.5					
				Citronnade du jour	Lemonade of the day	4					
Plats et desserts	Plates and desserts										
		Toute la journée	All day								
				Les œufs à la coque	Boiled eggs	6.5		Deux oeufs bios à la coque, mouillettes de pain de campagne	Two organic eggs, country bread sticks		
				Granola de saison	Seasonal Granola	7		Yaourt grec, fruits de saison, sirop d’érable	Greek yogurt, seasonal fruits, maple syrup		
				Les scones salés	Salty scones	8		Deux scones, chèvre frais, ciboulette	Two scones, fresh goat cheese, chive		
				Les scones sucrés	Sweet scones	6		Deux scones, servis avec du beurre et de la confiture	Two scones, served with butter and jam		
		Déjeuner	Lunch								
										(À partir de 12H00 jusqu’à 15H00)	(From 12H00 to 15H00)
				Banh mi (vegan)	Banh mi (vegan)	9.5		Sandwich concombre, pommes granny smith, carottes, tofu mariné à la sauce soja hoisin et cacahuète, oignons frits, coriandre, menthe	Sandwich cucumber, granny smith apples, carrots, tofu marinated in hoisin soy sauce and peanuts, fried onions		
				Tartine chèvre-poires	Toast with goat cheese and pear	14		Toast de pain de campagne de chez Mama Baker, chèvre frais, poires pochées au vin et épices d'hiver, mâche ciboulette	Country bread toast from Mama Baker, fresh goat cheese, pears poached in wine and winter spices, chive mache		
				Tartine burrata-champignons	Toast with burrata and mushrooms	14		Pain de campagne toasté de chez Mama Baker, poêlée de champignons, mâche, ciboulette, huile d'olive et fleur de sel	Country bread toast from Mama Baker, pan-fried mushrooms, lamb’s lettuce, chives, olive oil and fleur de sel		
				Brume d'hiver	Brume d'hiver	13		Yaourt grec, fêta, zaatar, compotée d'agrumes à la fleur d'oranger, coriandre fraîche, toast de pain de campagne de chez Mama Baker	Greek yogurt, feta, zaatar, citrus fruit compote with orange blossom, fresh coriander, country bread toast from Mama Baker		
//				Brume's curry (vegan)	Brume's curry (vegan)	14		Curry de légumes au lait de coco, vermicelles de riz au curcuma, coriandre fraîche	Vegetable curry with coconut milk, rice vermicelli with turmeric, fresh coriander		
		Pâtisseries et douceurs	Pastries and sweets							À découvrir au comptoir…	To discover at the counter…
Épicerie	Grocery										
		Sachets de café pour espresso	Coffee bags for espresso								
				kb - Taquaral		15		250g			
				kb - Las Codornices		15		250g			
				kawa - Pérou - Incahuasi		10		200g			
				kawa - Guatemala - Buena Esperanza		10		200g			
		Sachets de café pour filtre	Coffee bags for filter								
				kawa - Papouasie Nouvelle-Guinée		12		200g			
				kawa - Kenya - Kii Ab		15		200g			
		Boîtes de thé	Tea boxes								
				L'Autre Thé - tous les parfums	L'Autre Thé - All flavors	12		Taille unique	Unique size		
